hour_id,section_id,order,type,title_amharic,status,entered_by,checked_by,notes
midnight,midnight_w1_gospel,6,gospel,ወንጌል ክፍል ፩,empty,,,
midnight,midnight_w1_litany,7,litany,ሊጣንያ ክፍል ፩,empty,,,
midnight,midnight_w2_PSALMS_BLOCK,8,psalm,ክፍል ፪ (expand per psalm),empty,,,Watch 2
midnight,midnight_w2_gospel,9,gospel,ወንጌል ክፍል ፪,empty,,,
midnight,midnight_w2_litany,10,litany,ሊጣንያ ክፍል ፪,empty,,,
midnight,midnight_w3_PSALMS_BLOCK,11,psalm,ክፍል ፫ (expand per psalm),empty,,,Watch 3
midnight,midnight_w3_gospel,12,gospel,ወንጌል ክፍል ፫,empty,,,
midnight,midnight_w3_litany,13,litany,ሊጣንያ ክፍል ፫,empty,,,
midnight,midnight_trisagion,14,creed,ቅዱስ እግዚአብሔር,empty,,,
midnight,midnight_creed,15,creed,ጸሎተ ሃይማኖት,empty,,,
midnight,midnight_kyrie41,16,closing,ኪርያላይሶን ፵፩,empty,,,rubric: 41x
midnight,midnight_absolution,17,absolution,ፍትሐት,empty,,,
midnight,midnight_closing,18,closing,የመጨረሻ ጸሎት,empty,,,
veil,veil_note,1,opening,ማስታወሻ,empty,,,intro rubric on monastic tradition (D1)
veil,veil_intro,2,opening,መቅድም,empty,,,
veil,veil_lords_prayer,3,opening,አቡነ ዘበሰማያት,empty,,,
veil,veil_thanksgiving,4,opening,ጸሎተ አኰቴት,empty,,,
veil,veil_ps50,5,psalm,መዝሙር ፶,empty,,,
veil,veil_PSALMS_BLOCK,6,psalm,(expand: one row per psalm ~12),empty,,,EXPAND once source list confirmed
veil,veil_gospel,7,gospel,ወንጌል,empty,,,
veil,veil_litany,8,litany,ሊጣንያ,empty,,,
veil,veil_trisagion,9,creed,ቅዱስ እግዚአብሔር,empty,,,
veil,veil_creed,10,creed,ጸሎተ ሃይማኖት,empty,,,
veil,veil_kyrie41,11,closing,ኪርያላይሶን ፵፩,empty,,,rubric: 41x
veil,veil_absolution,12,absolution,ፍትሐት,empty,,,
veil,veil_closing,13,closing,የመጨረሻ ጸሎት,empty,,,
